C:\ProgramData\Anaconda3\python.exe C:/Users/feng/PycharmProjects/deapTest/main.py
   	      	                    fitness                    	                      size                     
   	      	-----------------------------------------------	-----------------------------------------------
gen	nevals	avg   	gen	max	min	nevals	std    	avg    	gen	max	min	nevals	std    
0  	150   	279.06	0  	378	142	150   	43.0831	4.02667	0  	7  	2  	150   	1.66912
1  	97    	264.833	1  	354	142	97    	44.2573	4.34   	1  	13 	1  	97    	2.19037
2  	78    	253.047	2  	372	142	78    	45.9269	4.94   	2  	14 	1  	78    	2.46368
3  	98    	252.3  	3  	350	142	98    	44.3123	5.44   	3  	14 	1  	98    	2.61911
4  	86    	255.62 	4  	361	142	86    	51.7177	5.20667	4  	15 	1  	86    	2.64398
5  	93    	251.393	5  	363	142	93    	48.0934	5.39333	5  	19 	1  	93    	2.75414
6  	84    	247.64 	6  	372	142	84    	54.3434	5.6    	6  	19 	1  	84    	3.20208
7  	91    	242.527	7  	355	142	91    	55.9458	5.49333	7  	23 	1  	91    	3.21402
8  	82    	237.527	8  	356	142	82    	58.872 	5.68667	8  	21 	1  	82    	3.48738
9  	76    	236.14 	9  	361	142	76    	63.6075	5.04   	9  	19 	1  	76    	2.89339
10 	99    	244.187	10 	361	142	99    	60.4839	4.82667	10 	14 	1  	99    	2.78746
11 	95    	247.313	11 	356	142	95    	56.6313	4.62   	11 	13 	1  	95    	2.54995
12 	86    	237.547	12 	352	142	86    	57.1079	4.58   	12 	13 	1  	86    	2.3924 
13 	90    	242.327	13 	356	142	90    	57.6766	4.56   	13 	14 	1  	90    	2.22854
14 	91    	243.853	14 	378	142	91    	62.9127	4.86   	14 	18 	1  	91    	2.81905
15 	103   	243.853	15 	350	142	103   	58.2661	4.90667	15 	14 	1  	103   	2.57772
16 	98    	247.167	16 	346	142	98    	54.674 	4.96   	16 	14 	1  	98    	2.67053
17 	105   	251.487	17 	359	142	105   	53.5972	4.72667	17 	15 	1  	105   	2.6023 
18 	96    	250.107	18 	352	142	96    	57.9177	4.88667	18 	15 	1  	96    	2.91556
19 	92    	244.42 	19 	351	142	92    	56.9222	4.61333	19 	16 	1  	92    	2.71977
20 	109   	253.247	20 	366	142	109   	52.9327	4.15333	20 	12 	1  	109   	2.07119
21 	98    	255.167	21 	372	142	98    	50.7546	3.82667	21 	9  	1  	98    	1.68818
22 	76    	243.233	22 	343	139	76    	54.6487	3.82667	22 	12 	1  	76    	1.79535
23 	92    	243.66 	23 	360	139	92    	57.548 	3.73333	23 	9  	1  	92    	1.63978
24 	90    	241.173	24 	361	139	90    	57.2701	4.11333	24 	10 	1  	90    	1.78339
25 	83    	242.373	25 	347	142	83    	55.9946	4.04667	25 	10 	1  	83    	1.88091
26 	105   	249.02 	26 	359	142	105   	56.571 	3.81333	26 	11 	1  	105   	1.75646
27 	83    	247.68 	27 	378	142	83    	58.3378	3.85333	27 	10 	1  	83    	1.76404
28 	101   	248.98 	28 	378	142	101   	55.9049	3.9    	28 	11 	1  	101   	1.93477
29 	74    	239.28 	29 	367	142	74    	57.7132	4.15333	29 	13 	1  	74    	2.32016
30 	89    	240.12 	30 	371	142	89    	57.0813	4.1    	30 	14 	1  	89    	1.90351
31 	93    	246.567	31 	356	142	93    	57.7435	4.12667	31 	12 	1  	93    	2.0536 
32 	85    	241.453	32 	336	142	85    	54.8754	4.06667	32 	11 	1  	85    	1.93793
33 	94    	244.093	33 	378	142	94    	61.6679	3.86   	33 	10 	1  	94    	1.8869 
34 	100   	246.153	34 	361	142	100   	57.4565	4.31333	34 	11 	1  	100   	2.12018
35 	87    	239.54 	35 	351	142	87    	65.4155	3.95333	35 	12 	1  	87    	2.22811
36 	84    	231.953	36 	355	142	84    	65.6388	3.75333	36 	13 	1  	84    	1.91811
37 	85    	231.087	37 	363	142	85    	63.8693	3.7    	37 	13 	1  	85    	2.01577
